Timestamp,Section Code,Item Code,MAKE (MANUFACTURED BY),Description,Quantity,Unit,Section Alloted,Picture of the Material,LOCATION/STOCK,Part Code
,,,,"M.S. Nail 4""",17.46,KG,Construction (Civil),,3E,
,,,,"Rubber Cover 4""",10,PC,Milling Section,,3D,
,,,,Wooden Flate 13 * 30 * 1205mm,10,PC,Construction (Civil),,3E,
,,,,Star Screw 8 * 13mm,930,GRM,Parboiling Section,,3D,
,,,,"M.S.Sieve Hole Dia 15mm, Size 900 * 2500mm",10,PC,Milling Section,,2A,
,,,,"Sieve Slot 5.5 * 20mm, Size 780 * 1780mm",2,PC,Milling Section,,3A,
,,,,"Sieve Slot 5.5 * 20mm, Size 900 * 2500mm",1,PC,Milling Section,,3A,
,,,,"Sieve Slot 4.5 * 20mm, Size 780 * 1780mm",3,PC,Parboiling Section,,3A,
,,,,"Sieve Slot 3.5 * 20mm, Size 900 * 2500mm",2,PC,Milling Section,,3A,
,,,,Sieve Slot 1.25 * 20mm Size 900 * 2495mm,7,PC,Parboiling Section,,1A,
,,,,"Sieve Round Hole 1mm, Size 900 * 2495mm",8,PC,Milling Section,,2A,
,,,,Sieve Polisher 1mm,3,PC,Milling Section,,2B,
,,,,"Sieve Slot 3.5mm * 20mm, Size 900 * 2495",5,PC,Milling Section,,1E,
,,,,"Sieve Slot 4.5 * 20mm, Size 900 * 2495mm",5,PC,Parboiling Section,,1E,
,,,,"Sieve Slot 5.5 * 20mm, Size 900 * 2495mm",5,PC,Parboiling Section,,1E,
,,,,"Sieve Slot 2.5 * 20mm, Size 900 * 2495mm",7,PC,Milling Section,,4A,
,,,,"Sieve Round Hole 10mm, Size 900 * 2495mm",5,PC,Milling Section,,18A,
,,,,M.S. Wire Window Mesh,9,KG,Construction (Civil),,1E,
,,,,Cutting Wheel Dia 355mm * 2.8mm * 25.4mm,66,PC,Common Product,,4D,
,,,,"Cutting Wheel 7""",13,PC,Common Product,,4D,
,,,,"Cutting Wheel 4""",206,PC,Common Product,,4D,
,,,,Granding Wheel Dia 230 * 6 * 22mm,8,PC,Common Product,,4D,
,,,,"Granding Wheel , Dia 180mm",10,PC,Common Product,,4D,
,,,,"Stone Cutting Wheel, Dia 230mm",4,PC,Common Product,,4D,
,,,,Master Oil 130ml,8,PC,Milling Section,,4D,
,,,,"Emery Paper No. 80, Size - 280 * 230",5,PC,Common Product,,4D,
,,,,"Emery Paper No. - 120, Size - 280 * 230mm",5,PC,Common Product,,4D,
,,,,Permanent Marker,45,PC,Common Product,,4D,
,,,,Tafflon Tape 20 Mtr. * 19mm * 0.25mm,34,PC,Common Product,,4D,
,,,SMC,Air Regulator,1,pc,Milling Section,,4D,AW20 - F02 G1 H-B
,,,BOSCH,"Grinder Machine 4"" GWS-750-100",1,pc,Common Product,,4D,
,,,TRINTIY TOUCH,Tri Box,2,PC,Electrical,,4D,
,,,APT,Emergency Switch use 400vV XKA-1,4,PC,Electrical,,4D,100808060
,,,,"Roller for Belt Conveyor, and Dia 75 * 275mm",1,PC,Parboiling Section,,4E,
,,,,"Pop Ribet 1.75""",1.71,KG,Common Product,,3D,
,,,,Star Screw 16mm,0.81,KG,Common Product,,3D,
,,,,White Glass (For Welding),2,PC,Common Product,,4D,
,,,,Black Glass (For Welding),11,PC,Common Product,,4D,
,,,,"Nozzle (For Gas Cutter), Size 3/64""",7,PC,Common Product,,4D,
,,,,Drill Bit 10mm,2,PC,Common Product,,4D,
,,,,Drill Bit 12mm,1,PC,Common Product,,4D,
,,,,Drill Bit 14mm,1,PC,Common Product,,4D,
,,,,Drill Bit 8mm,1,PC,Common Product,,4D,
